Category: All categories

Day,ChatGPT: (Worldwide),BARD: (Worldwide),AutoGPT: (Worldwide),GPT3: (Worldwide),GPT4: (Worldwide)
2022-10-25,0,1,<1,<1,0
2022-10-26,0,1,0,<1,<1
2022-10-27,0,1,0,<1,0
2022-10-28,0,1,0,<1,0
2022-10-29,0,1,<1,<1,0
2022-10-30,0,1,<1,<1,0
2022-10-31,<1,1,0,<1,<1
2022-11-01,0,1,0,<1,<1
2022-11-02,0,1,0,<1,0
2022-11-03,<1,1,0,<1,<1
2022-11-04,0,1,0,<1,0
2022-11-05,0,1,0,<1,0
2022-11-06,0,1,0,<1,0
2022-11-07,0,1,0,<1,0
2022-11-08,<1,1,0,<1,0
2022-11-09,0,1,0,<1,0
2022-11-10,0,1,<1,<1,<1
2022-11-11,<1,1,0,<1,0
2022-11-12,0,1,0,<1,<1
2022-11-13,0,1,0,<1,0
2022-11-14,0,1,0,<1,0
2022-11-15,0,1,0,<1,0
2022-11-16,0,1,0,<1,<1
2022-11-17,0,1,0,<1,<1
2022-11-18,0,1,0,<1,<1
2022-11-19,<1,1,<1,<1,0
2022-11-20,0,1,0,<1,<1
2022-11-21,0,1,<1,<1,<1
2022-11-22,<1,1,0,<1,<1
2022-11-23,0,1,0,<1,<1
2022-11-24,<1,1,0,<1,0
2022-11-25,<1,1,0,<1,<1
2022-11-26,0,1,0,<1,0
2022-11-27,<1,1,0,<1,0
2022-11-28,0,1,0,<1,0
2022-11-29,0,1,<1,<1,0
2022-11-30,<1,1,0,<1,0
2022-12-01,2,1,0,<1,<1
2022-12-02,4,1,0,<1,<1
2022-12-03,4,1,0,<1,<1
2022-12-04,6,1,0,<1,<1
2022-12-05,11,1,0,1,<1
2022-12-06,16,1,0,1,<1
2022-12-07,21,1,0,1,<1
2022-12-08,23,1,0,1,<1
2022-12-09,22,1,0,1,<1
2022-12-10,17,1,<1,1,<1
2022-12-11,20,1,0,1,<1
2022-12-12,27,1,0,1,<1
2022-12-13,24,1,<1,1,<1
2022-12-14,25,1,0,1,<1
2022-12-15,22,1,0,1,<1
2022-12-16,22,1,0,1,0
2022-12-17,15,1,0,<1,<1
2022-12-18,13,1,0,<1,<1
2022-12-19,16,1,<1,<1,<1
2022-12-20,15,1,0,1,<1
2022-12-21,14,1,0,<1,<1
2022-12-22,13,1,0,<1,0
2022-12-23,14,1,0,<1,0
2022-12-24,12,1,0,<1,<1
2022-12-25,11,1,0,<1,<1
2022-12-26,11,1,0,<1,<1
2022-12-27,12,1,<1,<1,<1
2022-12-28,12,1,0,<1,<1
2022-12-29,14,1,0,<1,<1
2022-12-30,12,1,0,<1,<1
2022-12-31,9,1,0,<1,<1
2023-01-01,11,1,0,<1,<1
2023-01-02,14,1,0,<1,<1
2023-01-03,18,1,0,<1,0
2023-01-04,20,1,0,<1,<1
2023-01-05,23,1,<1,<1,<1
2023-01-06,24,1,<1,<1,<1
2023-01-07,19,1,0,<1,0
2023-01-08,22,1,0,<1,<1
2023-01-09,28,1,0,<1,<1
2023-01-10,32,1,<1,<1,<1
2023-01-11,36,1,0,1,<1
2023-01-12,34,1,0,<1,<1
2023-01-13,34,1,0,<1,<1
2023-01-14,27,1,0,<1,<1
2023-01-15,27,1,0,<1,<1
2023-01-16,36,1,0,<1,<1
2023-01-17,40,1,0,<1,<1
2023-01-18,42,1,0,<1,<1
2023-01-19,41,1,0,<1,<1
2023-01-20,39,1,0,<1,<1
2023-01-21,32,1,0,<1,<1
2023-01-22,35,1,0,<1,<1
2023-01-23,46,1,0,<1,<1
2023-01-24,48,1,<1,<1,<1
2023-01-25,50,1,0,<1,<1
2023-01-26,49,1,0,<1,<1
2023-01-27,47,1,<1,<1,<1
2023-01-28,40,1,0,<1,<1
2023-01-29,42,1,0,<1,<1
2023-01-30,54,1,0,<1,<1
2023-01-31,58,1,0,<1,<1
2023-02-01,54,1,0,<1,<1
2023-02-02,60,1,0,<1,<1
2023-02-03,58,1,0,<1,<1
2023-02-04,48,1,<1,<1,0
2023-02-05,49,1,0,<1,<1
2023-02-06,63,4,<1,<1,<1
2023-02-07,72,17,0,<1,<1
2023-02-08,73,12,0,<1,<1
2023-02-09,74,12,0,<1,<1
2023-02-10,65,7,0,<1,<1
2023-02-11,57,5,0,<1,<1
2023-02-12,58,4,0,<1,<1
2023-02-13,71,4,0,<1,<1
2023-02-14,68,4,0,<1,<1
2023-02-15,70,3,0,<1,<1
2023-02-16,70,3,0,<1,<1
2023-02-17,62,3,0,<1,<1
2023-02-18,56,2,0,<1,0
2023-02-19,59,3,0,<1,<1
2023-02-20,70,2,<1,<1,<1
2023-02-21,77,3,0,<1,<1
2023-02-22,72,2,<1,<1,<1
2023-02-23,75,2,<1,<1,<1
2023-02-24,62,2,<1,<1,<1
2023-02-25,51,2,0,<1,<1
2023-02-26,52,2,<1,<1,0
2023-02-27,77,2,0,<1,<1
2023-02-28,69,2,0,<1,<1
2023-03-01,66,2,0,<1,<1
2023-03-02,65,2,0,<1,<1
2023-03-03,61,2,<1,<1,<1
2023-03-04,49,2,0,<1,<1
2023-03-05,52,2,0,<1,<1
2023-03-06,67,2,0,<1,<1
2023-03-07,67,2,0,<1,<1
2023-03-08,70,2,<1,<1,<1
2023-03-09,66,2,0,<1,<1
2023-03-10,63,2,0,<1,<1
